user,text
SiavashFathi,"#Azure blog has a new post """"Customized Renditions and Asset trimming with Dynamic Manifest"""" http://t.co/O2HirVogrg"
GFritchey,WHOOOOPPPPP!!! New feature in #azure SQL Database v12 that I'm very excited about.
iamleonmallett,Customized Renditions and Asset trimming with Dynamic Manifest http://t.co/r8TFlurVKr #Azure #news
Karlitoz007,Customized Renditions and Asset trimming with Dynamic Manifest http://t.co/g5u3oeWRmW #Azure #Cloud http://t.co/NzHXFu6HsL
SiavashFathi,New post on developer tools blog Customized Renditions and Asset trimming with Dynamic Manifest http://t.co/O2HirVogrg #Azure #Dev #Visua…
sebmatthews,Customized Renditions and Asset trimming with Dynamic Manifest #azure http://t.co/nmSpMaFmbX
beckynagel,"Real-Life #Azure, Part 1: Setting Up the Environment -- Virtualization Review https://t.co/MciXQxN4Uz #cloud #howto"
PatrickLownds,Use PoSh to Create Virtual Machine in Azure – Part 5 http://t.co/RUEid3ZYcV #PoSh #Azure
dmimmocapone,RT @MS_Ignite: #Microsoft Brings the Next Generation of Hybrid #Cloud - #Azure to Your Datacenter: http://t.co/eNodbBSLG8 #MSIgnite
PamMisialek,"RT @kuntzconsulting: #unscientificpoll: who would want to attend a """"how to create your own #Azure #MSDYNGP VM"""" during #reIMAGINE2015? Conte…"
ActiveNick,Customized Renditions and Asset trimming with Dynamic Manifest http://t.co/imX58TiusK #Azure #Cloud
RyanLowdermilk,Customized Renditions and Asset trimming with Dynamic Manifest #azure #cloud http://t.co/UI3KvJYArt
PatrickLownds,Use PoSh to Create Virtual Machine in Azure – Part 4 http://t.co/rlfXmn6Q4X #PoSh #Azure
cdndevs,Another great success story: #Azure + #VisualStudio = @ThrowbackCorp - http://t.co/PQ3qyxBsGR http://t.co/ypx67YBZ4w
PatrickLownds,Use PoSh to Create Virtual Machine in Azure – Part 3 http://t.co/f8pe52ccDY #PoSh #Azure
Glossary1980,"Behind the #ESC stage with #Yammer and #Azure http://t.co/qxVYR7LVPC
#Msft"
robchan8,"RT @paulcdale: Just completed a tour of the #Microsoft #Azure Data Centre in Dublin, truly amazing! The best description was ""Industrialise…"
PatrickLownds,Use PoSh to Create Virtual Machine in Azure – Part 2 http://t.co/GYlOFrnbec #PoSh #Azure
anealroney,Application Insights Pricing Effective June 1 | Microsoft #Azure Blog http://t.co/Xjs9uHt3DK
govindsyadav,Continuing my journey on cloud with #azure today added a new gem web api apps to my cloud project.its awesome.
PatrickLownds,Use PoSh to Create Virtual Machine in Azure – Part 1 http://t.co/9iUXBHdZkQ #PoSh #Azure
LogicalisJobs,"#Logicalis is #hiring a #Microsoft Delivery Engineer in the #Midwest
http://t.co/0wB6yNLynm #Office365 #Azure #SCCM #Exchange2013"
RobertoSumter,"Preview: Azure SQL Database Query Store"""" #azure  http://t.co/TkDszYAhx3"
PatrickLownds,RT @joe_elway: Living with &amp; Paying for #Azure VM Backup http://t.co/IK9BDte2gL
AzureStreaming,Data-driven irrigation eases water distribution in California #IoT #Azure http://t.co/HJMSkqwZ7W
PatrickLownds,RT @david_obrien: #Chef + Microsoft Nano Server = Building Lightweight Infrastructure http://t.co/542883cs91 &lt;completely missed that. @chef…
RichWaidmann,#Microsoft is giving businesses 2 more reasons to move existing work to the #cloud http://t.co/UNo2fg88mi via @syegulalp @infoworld #Azure
YogeshBang,RT @Azure: Choose a learning algorithm in #Azure #MachineLearning. Download the handy guide &amp; learn more: http://t.co/O9NR4o81HK
armarn,#Azure for Students http://t.co/qX376lKk6K
MexicoIPO,RT @Azure: Simplify #retail IT w/ #Azure &amp; aKite cloud-native SaaS solution - Eliminate business complexity today: http://t.co/kSnf76F3cT #…
PatrickLownds,RT @Azure: #Azure Table #Storage 101: Create a sample app &amp; explore HTTP REST calls to the backend Azure Storage API. http://t.co/4y0sqD1swG
technetbelux,#Azure experts &amp; engineers talk #cloudsecurity with RicksterCDN: http://t.co/wzkACG9Imw #LevelUpAzure
pietro1861,RT @Azure: Choose a learning algorithm in #Azure #MachineLearning. Download the handy guide &amp; learn more: http://t.co/O9NR4o81HK
Intelligink,"Using #Azure Media Services Explorer for Live Encoding""""  http://t.co/ijbpZhKr9i #cloud #ams"
AlexGarcia_Ca,RT @Azure: Choose a learning algorithm in #Azure #MachineLearning. Download the handy guide &amp; learn more: http://t.co/O9NR4o81HK
freetuto1,TY @KMennerFineArt 4 #Follow. Get Free PDF Introducing Windows Azure #windows #azure ==&gt; http://t.co/gTWqytD5RF
mjmsf,Lifecycle approach to policy management - #Cisco #APIC into #Windows #Azure #Intel #CLUS http://t.co/zVSSyhdza9 http://t.co/vOySYb6NVh
paulcdale,"Just completed a tour of the #Microsoft #Azure Data Centre in Dublin, truly amazing! The best description was ""Industrialised IT"""
mjmsf,#Cisco and #Microsoft #Cloud solution with #Intel #CLUS http://t.co/zVSSyhdza9 #Azure http://t.co/MWdswwYbN2
anilmalekani,RT @Azure: Choose a learning algorithm in #Azure #MachineLearning. Download the handy guide &amp; learn more: http://t.co/O9NR4o81HK
softmart,Consider yourself a Superior Talent?? Softmart is looking to have you join our team #SCS #O365 #Azure #Microsoft  http://t.co/iNSVWL3ADy
Karlsson_Kyiv,RT @Azure: #Azure Table #Storage 101: Create a sample app &amp; explore HTTP REST calls to the backend Azure Storage API. http://t.co/4y0sqD1swG
